1;;;;;;;;
83;7855;8293;8731;9169;9607;10045;10483;
100;2878;3678;4478;5278;6078;7278;8478;
316;148513;168535;188557;208579;228601;258634;288667;
612;173363;205355;237347;269339;301331;349319;389387;
618;218070;272726;327382;382038;436694;518678;586934;
624;77230;90614;103998;117382;130766;150842;170918;
3416;1249;1249;1249;1249;1249;1249;1249;
6412;0;0;0;0;0;0;0;
6418;1400;1400;1400;1400;1400;1400;1400;
6424;240;240;240;240;240;240;240;

8;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;4002;5058;6114;7170;8226;9282;10338;
43;1461;1461;1461;1461;1461;1461;1461;
77;8;8;8;8;8;8;8;
80;0;0;0;0;0;0;0;
81;3843;4126;4937;5220;6165;6976;8048;
83;61;61;61;61;61;61;61;
100;1400;1960;2520;3080;3360;3920;3920;
316;8448;13728;9504;14784;17344;22624;22624;
612;10680;9960;17160;16440;12120;11400;11400;
618;10504;19760;19032;28288;22360;24752;24752;
624;9038;11326;13614;15902;17046;19334;19334;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;504;504;504;504;504;504;504;
6424;608;608;608;608;608;608;608;

9;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;2212;2212;2212;2212;2212;2212;2212;
41;5016;7692;11735;15778;19821;23864;27907;
43;5648;6220;7078;7936;8794;9652;10510;
77;44;44;44;44;44;44;44;
80;0;0;0;0;0;0;0;
81;7499;10012;14070;18128;22186;26244;30302;
83;14364;14556;14844;15132;15420;15612;15900;
100;4480;5226;5972;6718;7464;8210;8956;
316;55872;68148;80424;92700;104976;117252;129528;
612;35376;58436;81496;104556;127616;150676;173736;
618;101304;129452;157600;185748;213896;242044;270192;
624;10928;20652;30376;40100;49824;59548;69272;
3416;-120;-120;-120;-120;-120;-120;-120;
6412;0;0;0;0;0;0;0;
6418;280;280;280;280;280;280;280;
6424;0;0;0;0;0;0;0;

10;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;2174;2174;2174;2174;2174;2174;2174;
41;2868;7452;12036;16620;20148;23204;27788;
43;3106;3625;4144;4663;5182;5701;6220;
77;108;108;108;108;108;108;108;
80;0;0;0;0;0;0;0;
81;1877;6736;11195;16423;21410;24493;29726;
83;571;580;589;598;607;616;625;
100;3756;4502;5248;5994;6740;7486;7486;
316;16332;29922;43512;52572;66162;79752;88812;
612;70242;96960;123678;141490;168208;194926;212738;
618;72114;108319;145564;170394;207639;244884;269714;
624;64656;74004;83352;89584;98932;108280;114512;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;1462;1462;1462;1462;1462;1462;1462;
6424;722;722;722;722;722;722;722;

11;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;566;1740;2916;4092;5138;6184;7360;
43;332;452;572;682;782;882;1022;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;1277;2224;3383;4542;5748;6954;8274;
83;25;65;105;145;185;225;133;
100;0;0;0;0;0;0;0;
316;1869;6549;8889;11229;15717;20205;22545;
612;3372;11700;16740;21780;30540;39300;44340;
618;5250;19550;27050;34550;48050;61550;69050;
624;5824;9424;11724;14024;18324;22624;24924;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;0;0;0;0;0;0;0;
6424;0;0;0;0;0;0;0;

12;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;4388;7536;8053;9626;11199;14347;15920;
43;1384;1428;1472;1516;1560;1604;1648;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;1571;5465;7412;9359;11306;15200;17147;
83;0;0;0;0;0;0;0;
